County,Total Population,White Population,Black or African American Population,American Indian and Alaska Native Population,Asian Population,Male Population,Female Population,Hispanic or Latino Population,Median Household Income (Overall),Median Household Income (White Alone),Median Household Income (Black or African American Alone),Median Household Income (American Indian and Alaska Native Alone),Median Household Income (Asian Alone),Median Household Income (Native Hawaiian and Other Pacific Islander Alone),Median Household Income (Some Other Race Alone),Median Household Income (Two or More Races),Median Household Income (Hispanic or Latino),Speak Only English at Home (Population 5 years and over),Speak Spanish at Home (Population 5 years and over),Speak Other Indo-European Languages at Home (Population 5 years and over),Speak Asian and Pacific Island Languages at Home (Population 5 years and over),Speak Other Languages at Home (Population 5 years and over),Year
"Martin County, North Carolina",23699.0,12402.0,10116.0,129.0,7.0,10962.0,12737.0,12229.0,32121.0,42303.0,21825.0,2499.0,,,11968.0,71023.0,26167.0,21429.0,681.0,19.0,0.0,0.0,2009
"Mecklenburg County, North Carolina",861189.0,524557.0,248876.0,3229.0,34346.0,421933.0,439256.0,476421.0,55587.0,67395.0,39845.0,46100.0,65165.0,66000.0,37797.0,45903.0,39859.0,664104.0,71352.0,5247.0,249.0,837.0,2009
"Mitchell County, North Carolina",15690.0,15135.0,71.0,2.0,91.0,7766.0,7924.0,14854.0,33118.0,32962.0,,,,,22431.0,31319.0,20648.0,14239.0,500.0,92.0,0.0,0.0,2009
"Montgomery County, North Carolina",27456.0,18496.0,5351.0,86.0,516.0,13874.0,13582.0,17121.0,33223.0,38000.0,22736.0,,15435.0,,22778.0,20517.0,25268.0,22618.0,2389.0,55.0,0.0,0.0,2009
"Moore County, North Carolina",84280.0,68080.0,12498.0,513.0,591.0,40380.0,43900.0,65527.0,46940.0,50960.0,28033.0,13973.0,36652.0,,29049.0,17500.0,32143.0,74025.0,3679.0,295.0,0.0,109.0,2009
"Nash County, North Carolina",92814.0,54095.0,33659.0,318.0,789.0,44403.0,48411.0,53118.0,42909.0,49248.0,34768.0,65000.0,37169.0,,43387.0,29210.0,43205.0,81284.0,3662.0,232.0,11.0,65.0,2009
"New Hanover County, North Carolina",189463.0,150667.0,29414.0,701.0,2221.0,91346.0,98117.0,148419.0,47644.0,52100.0,25865.0,23710.0,51364.0,,34637.0,52668.0,35514.0,166704.0,6325.0,572.0,0.0,454.0,2009
"Northampton County, North Carolina",20611.0,8333.0,11918.0,19.0,8.0,9805.0,10806.0,8223.0,29349.0,38677.0,21645.0,,,,48088.0,32361.0,48088.0,19095.0,145.0,2.0,0.0,10.0,2009
"Onslow County, North Carolina",165181.0,121091.0,27923.0,1093.0,3193.0,91315.0,73866.0,116513.0,41725.0,44235.0,35307.0,30938.0,44866.0,50500.0,40524.0,29985.0,39132.0,136856.0,7998.0,741.0,145.0,245.0,2009
"Orange County, North Carolina",124503.0,94385.0,16747.0,483.0,7304.0,59064.0,65439.0,90843.0,49836.0,58015.0,29991.0,38794.0,51179.0,,33000.0,31571.0,35247.0,101936.0,6198.0,628.0,167.0,242.0,2009
"Pamlico County, North Carolina",12470.0,9285.0,2819.0,43.0,21.0,6351.0,6119.0,9229.0,37936.0,42886.0,24091.0,72625.0,,,,73750.0,20625.0,11656.0,188.0,39.0,0.0,5.0,2009
"Pasquotank County, North Carolina",40334.0,23236.0,15465.0,223.0,460.0,19430.0,20904.0,22811.0,44319.0,54121.0,31309.0,6591.0,69063.0,,24938.0,33770.0,31534.0,35204.0,1276.0,116.0,0.0,172.0,2009
"Pender County, North Carolina",49408.0,37593.0,9577.0,229.0,169.0,24826.0,24582.0,36464.0,42760.0,47193.0,30000.0,23030.0,,,28578.0,16875.0,32381.0,43295.0,2510.0,121.0,0.0,57.0,2009
"Perquimans County, North Carolina",12367.0,8978.0,3298.0,0.0,0.0,5906.0,6461.0,8941.0,37798.0,47632.0,14766.0,,,,,,11750.0,11500.0,186.0,7.0,0.0,0.0,2009
"Person County, North Carolina",37301.0,25782.0,10181.0,209.0,127.0,18136.0,19165.0,25173.0,44381.0,50660.0,32692.0,70313.0,,,37601.0,37188.0,24881.0,33416.0,1122.0,32.0,0.0,0.0,2009
"Pitt County, North Carolina",151931.0,93009.0,50384.0,314.0,1863.0,72003.0,79928.0,90368.0,36732.0,45246.0,23913.0,40489.0,70664.0,,35540.0,21835.0,35911.0,132219.0,5708.0,420.0,0.0,11.0,2009
"Polk County, North Carolina",19107.0,17764.0,1048.0,35.0,56.0,9225.0,9882.0,17114.0,39246.0,39361.0,33556.0,53281.0,32188.0,,158077.0,26250.0,22377.0,17222.0,629.0,58.0,0.0,0.0,2009
"Randolph County, North Carolina",139443.0,120265.0,8142.0,673.0,1194.0,68755.0,70688.0,114622.0,39642.0,41622.0,28133.0,43203.0,25761.0,,22818.0,16528.0,26359.0,116890.0,11392.0,213.0,0.0,14.0,2009
"Richmond County, North Carolina",45947.0,28889.0,14073.0,910.0,387.0,22593.0,23354.0,28173.0,29403.0,35010.0,20894.0,21481.0,38571.0,,26310.0,28977.0,26037.0,40884.0,1392.0,39.0,0.0,0.0,2009
"Robeson County, North Carolina",127686.0,41961.0,30411.0,46396.0,828.0,62202.0,65484.0,36988.0,28426.0,35841.0,19843.0,28144.0,39881.0,25945.0,27174.0,23603.0,26996.0,106880.0,8763.0,60.0,5.0,23.0,2009
"Rockingham County, North Carolina",92007.0,70115.0,17487.0,300.0,325.0,44400.0,47607.0,68456.0,38160.0,41518.0,29393.0,33125.0,30956.0,,29317.0,36250.0,28198.0,81731.0,3974.0,96.0,0.0,32.0,2009
"Rowan County, North Carolina",137387.0,108409.0,20750.0,304.0,1271.0,67586.0,69801.0,104011.0,45253.0,48131.0,29630.0,43111.0,56075.0,80735.0,35096.0,26750.0,38740.0,118662.0,7839.0,165.0,0.0,41.0,2009
"Rutherford County, North Carolina",63153.0,54464.0,6944.0,122.0,216.0,30176.0,32977.0,53735.0,34881.0,36509.0,22055.0,8472.0,,,22247.0,47591.0,21747.0,57434.0,1149.0,124.0,0.0,12.0,2009
"Sampson County, North Carolina",62996.0,35896.0,17592.0,898.0,286.0,31188.0,31808.0,33709.0,34779.0,45251.0,25487.0,30795.0,54375.0,,20442.0,21042.0,21424.0,49988.0,7813.0,73.0,0.0,9.0,2009
"Scotland County, North Carolina",36394.0,18166.0,13847.0,3349.0,144.0,17452.0,18942.0,17901.0,31439.0,42400.0,22366.0,23950.0,38571.0,21929.0,,20048.0,9963.0,32904.0,558.0,41.0,0.0,22.0,2009
"Stanly County, North Carolina",59136.0,49351.0,6741.0,85.0,1230.0,29328.0,29808.0,48334.0,43491.0,45587.0,30788.0,50982.0,64632.0,,22760.0,23398.0,29107.0,52344.0,1972.0,58.0,0.0,10.0,2009
"Stokes County, North Carolina",45916.0,43022.0,2258.0,75.0,64.0,22238.0,23678.0,42104.0,39975.0,41131.0,35183.0,,,,42692.0,21633.0,25066.0,42308.0,833.0,38.0,0.0,15.0,2009
"Surry County, North Carolina",72166.0,66424.0,2779.0,220.0,390.0,34968.0,37198.0,61736.0,36511.0,37621.0,23002.0,18750.0,45000.0,,19970.0,29375.0,29049.0,61351.0,5394.0,62.0,0.0,51.0,2009
"Swain County, North Carolina",13367.0,9127.0,118.0,3503.0,93.0,6531.0,6836.0,8949.0,33272.0,34448.0,16678.0,24125.0,50036.0,,14278.0,68466.0,14750.0,12023.0,285.0,20.0,0.0,0.0,2009
"Transylvania County, North Carolina",29886.0,27504.0,1496.0,78.0,191.0,14306.0,15580.0,27344.0,38446.0,38991.0,29065.0,23542.0,50625.0,,43438.0,65444.0,29205.0,27592.0,572.0,40.0,0.0,33.0,2009
"Tyrrell County, North Carolina",4112.0,2342.0,1645.0,22.0,11.0,2270.0,1842.0,2330.0,30313.0,39153.0,15081.0,,,,26111.0,2499.0,31429.0,3781.0,175.0,0.0,0.0,0.0,2009
