SID,ESCAPE DATE,ESCAPE TYPE,ESCAPE SEVERITY
SC02129769,NO ESCAPES DURING CURRENT INCARCERATION
SC01762189,NO ESCAPES DURING CURRENT INCARCERATION
SCS0008216,NO ESCAPES DURING CURRENT INCARCERATION
SC01291632,NO ESCAPES DURING CURRENT INCARCERATION
SC01216041,NO ESCAPES DURING CURRENT INCARCERATION
SC01785715,NO ESCAPES DURING CURRENT INCARCERATION
SC01234528,NO ESCAPES DURING CURRENT INCARCERATION
SC01535121,NO ESCAPES DURING CURRENT INCARCERATION
SC01466960,06/27/2013,ATTEMPTED ESCAPE,CLASS I
SC02272152,NO ESCAPES DURING CURRENT INCARCERATION
SC02277631,NO ESCAPES DURING CURRENT INCARCERATION
SC00380390,NO ESCAPES DURING CURRENT INCARCERATION
SC00946762,NO ESCAPES DURING CURRENT INCARCERATION
SC02125035,NO ESCAPES DURING CURRENT INCARCERATION
SC01065399,NO ESCAPES DURING CURRENT INCARCERATION
SC02436906,NO ESCAPES DURING CURRENT INCARCERATION
SC02086852,NO ESCAPES DURING CURRENT INCARCERATION
SC01803828,NO ESCAPES DURING CURRENT INCARCERATION
SC02010615,NO ESCAPES DURING CURRENT INCARCERATION
SC01419781,NO ESCAPES DURING CURRENT INCARCERATION
SC00863730,NO ESCAPES DURING CURRENT INCARCERATION
SC02006735,NO ESCAPES DURING CURRENT INCARCERATION
SC01709939,NO ESCAPES DURING CURRENT INCARCERATION
SC01898280,NO ESCAPES DURING CURRENT INCARCERATION
SC01532264,NO ESCAPES DURING CURRENT INCARCERATION
SC01887264,NO ESCAPES DURING CURRENT INCARCERATION
SC01801568,NO ESCAPES DURING CURRENT INCARCERATION
SC01704259,NO ESCAPES DURING CURRENT INCARCERATION
SC01554891,NO ESCAPES DURING CURRENT INCARCERATION
SC00455900,NO ESCAPES DURING CURRENT INCARCERATION
SC02338870,NO ESCAPES DURING CURRENT INCARCERATION
SC02260978,NO ESCAPES DURING CURRENT INCARCERATION
SC01941018,NO ESCAPES DURING CURRENT INCARCERATION
SC01970778,NO ESCAPES DURING CURRENT INCARCERATION
SC00954677,NO ESCAPES DURING CURRENT INCARCERATION
SC01372937,NO ESCAPES DURING CURRENT INCARCERATION
SC01137031,06/12/2017,ATTEMPTED ESCAPE,CLASS I
SC01342652,NO ESCAPES DURING CURRENT INCARCERATION
SC01283884,NO ESCAPES DURING CURRENT INCARCERATION
SCL0004282,NO ESCAPES DURING CURRENT INCARCERATION
SC01537941,NO ESCAPES DURING CURRENT INCARCERATION
SC01074309,NO ESCAPES DURING CURRENT INCARCERATION
SC01375751,NO ESCAPES DURING CURRENT INCARCERATION
SC00595638,NO ESCAPES DURING CURRENT INCARCERATION
SC01184757,07/27/2010,ATTEMPTED ESCAPE,CLASS I
SC01466197,NO ESCAPES DURING CURRENT INCARCERATION
SC01486349,NO ESCAPES DURING CURRENT INCARCERATION
SC01551902,NO ESCAPES DURING CURRENT INCARCERATION
SC01485307,NO ESCAPES DURING CURRENT INCARCERATION
SC01317155,NO ESCAPES DURING CURRENT INCARCERATION
SC02066174,NO ESCAPES DURING CURRENT INCARCERATION
